title,text
Афта,"Други имена: афтозна язва, устна афта. Англ: Canker sore, аphthous ulcer Какво е устна афта Афтите са малки ранички в устната кухина. Обикновено те засягат вътрешната страна на бузите, но могат също да се появят под и на езика, по венците, небцето и от вътрешната страна на устните. По-рядко афти се наблюдават и по задната част на гърлото. Причини, рискови фактори и превенция Какво точно причинява устните афти, не е известно. Понякога те се дължат на вирусна инфекция, особено след разраняване в устната кухина, например при хранене или час при зъболекаря. Какво още е възможно да предизвиква появата на афти:  Много кисели или люти храни, както и ястия с много подправки Разраняване на устата заради много твърда четка за зъби Отслабена имунна система, т.е. след боледуване Лоша хигиена и замърсяване на устната кухина Повишена чувствителност към някаква храна като шоколад, ананас, ягоди, или ядки Липса на витамини и минерали, особено на желязо, витамин B12 и фолиева киселина (т.е. витамин B9) Алергии Стрес Хормонални промени по време на пубертет или менопауза  Симптоми Афтите могат да бъдат малки и големи. Големите понякога оставят белези. Обикновено афтите започват като зачервени петна или издутини, които имат бял или жълтеникав център. С времето се разраняват. Цветът им често става сив, когато започват да зарастват. Устните афти понякога болят и създават неприятно усещане при хранене. Относително рядко афтите могат да предизвикат повишена температура, чувство за отпадналост или подуване на лимфните възли. Лечение Устните афти обикновено нямат нужда от специфично лечение и изчезват сами за няколко дни. Ако раничките не преминават или са много болезнени, лекуващият лекар ще установи причината за тях и ще предпише подходящи антисептични мазила или лекарства. Какво помага:  Използвайте вода за уста Не яжте люти, пикантни или кисели храни Жабуркането (или гаргара, ако афтата е на гърлото) със сода за хляб (1 кафена лъжичка в ½ чаша топла вода). Не гълтайте соления разтвор, а го изплюйте Намазване на афтата с магнезиево мляко или със сода за хляб (т.е. сода бикарбонат, която трябва съвсем леко да смесим с вода, за да стане на кашица, преди да я мажем) Използвайте мека четка за зъби и неагресивна паста  Ако афтите ви измъчват, попитайте аптекаря какво може да ви препоръча за облекчаване на симптомите. Съществуват множество продукти, които могат да помогнат и се продават без рецепта. Някои от тях съдържат малки количества лекарствени вещества и затова е разумно да прочетем листовката и да следваме указанията в нея. Прогноза и възможни усложнения Афтите са неприятни, но безопасни. Почти винаги те преминават сами и без дълготрайни последици Посъветвайте се със специалист, ако афтите не преминават повече от две седмици или се появяват повече от 3-4 пъти годишно. Връзки:  Canker Sores by US National Library ofMedicine – EN   Желаем ви здраве! Моля ви, не забравяйте, че никаква информация или съвет не може и не трябва да заменя консултация, преглед и лечение при лекар. Проверил: Д-р Пламен Симеонов, неврохирург, Военномедицинска академия, София."
Аутизъм,"Други имена: аутистично разстройство. Англ: Autism, Autistic spectrum disorder (ASD) Какво е аутистично разстройство Аутизмът е разстройство на нормалното развитие на детето, което се проявява в първите три години от живота. То засяга развитието и изграждането на мозъка, а оттам и способността на детето да разбира света и да общува с другите. Децата с аутизъм имат трудности да учат и запомнят. Вниманието им е фокусирано върху прости и повтарящи се дейности, което води до сериозна неспособност да подържат социален или професионален живот. Аутизмът се открива и диагностицира трудно. Съвременната медицина говори за спектър от аутистични разстройства, най-лекото от които е синдромът на Аспергер. Причини, рискови фактори и превенция Не е известно какво поражда аутизма. Има основания да се счита, че състоянието се дължи на действието на някои гени, но това не е доказано. Аутизмът не се причинява от:  Ваксини. Поредица големи клинични изследвания с десетки хиляди деца търсят връзка между различни ваксини и аутистичните разстройства. Оказва се, че такава връзка не съществува, т.е. аутизмът се среща еднакво често при ваксинирани и неваксинирани деца Определени храни или диети, недохранване или липса на витамини и минерали Съединения на живака или алуминия и тяхното наличие в кръвта  Момчетата аутисти са около 4 пъти повече от момичетата. Горните три хипотези, ако бяха верни, щяха да водят до еднаква честота на състоянието при двата пола. Симптоми Признаците на разстройство от аутистичния спектър са изключително много и изключително общи и неясни. Поради тази причина разпознаването и диагностицирането на аутистично разстройство е много трудно. Най-общо децата с аутизъм често са по-свенливи, обичат да се занимават сами, силно се привързват към реда и рутината, имат трудности с ученето, говоренето и движението, избягват очен контакт и не обичат да ги прегръщат, лицата им са безизразни, говорът е механичен, не са емоционални, не играят игри, изискващи въображение, не си измислят неща; и много други. Децата аутисти трудно се справят с неочаквани и непредвидими ситуации. Ето защо те общуват по-трудно с хората и учат по-лесно от компютри. Няма дете, при което да няма поне няколко от признаците на аутизма. Кога да се посъветваме със специалист:  Когато детето не реагира на усмивка или на щастливо изражение на лицето към 6 месец Когато не имитира звуци или мимики към 9 месец Когато не гука и бърбори по бебешки към 12 месец Когато не жестикулира (например не сочи и не размахва ръце) към 14 месец Когато не използва нито една дума към 16 месец Когато не си фантазира неща и не се прави, че измисленото го има, към 18 месец Когато не използва минифрази от две изречения към 24 месец Когато забравя думи, които вече са били научени, или губи придобити социални умения. В този случай възрастта няма значение  Всяко дете е различно и особено. Аутизмът не се среща често и за радост в повечето случаи притесненията на родителите са неоснователни. И все пак развитието на детето с аутистично разстройство и шансът му за относително нормален живот е толкова по-висок, колкото по-рано започнат специалните грижи и занимания. Не отлагайте срещата със специалист, ако детето ви се отличава значително от другите деца. Лечение Тъй като причината за аутизма не е открита, той не се лекува. Това не означава, че състоянието не може да се подобри и контролира! Целта на терапията при аутистично разстройство е да се подпомогне развитието на детето и способността му да научава нови неща. Потискането на симптомите на аутизма спомага за по-добро социално интегриране. В общия случай хората с аутизъм имат особени специфични таланти, например способност за изключително бързо четене, фотографска памет, позволяваща да се нарисува подробно копие на картина, която е виждана само веднъж, или пък умение да се разглобяват и сглобяват обратно сложни уреди като компютър от ранна детска възраст и без съответно обучение. Поощавянето на тази таланти е препоръчително и полезно. Няма лекарства, които да помагат при аутизъм. Възможно е лекарят да предпише медикаменти заради съпътстващо аутизма състояние или, в редки случаи, за да реши проблеми като безсъние, хиперактивност или прекомерна агресия. Основното, от което се нуждае дете с аутизъм, са грижа и внимание. Съществуват множество различни терапии за аутистични разстройства. Всички те се стремят да подпомогнат ученето на детето и да го избавят от симптомите, които пречат на общуването. Често аутизмът е съпътстван от друг проблем като епилепсия, астма или безсъние. Тези трябва да се лекуват. Прогноза и възможни усложнения Повечето хора с аутизъм успяват да живеят със семействата си и да се впишат донякъде в обществото. Доколко те ще имат относително нормален живот, зависи от силата на симптомите им и степента на ефективност на терапията. Около 20% от работещите в САЩ страдат от някакво психично разстройство. Много от тези хора са именно с разстройство от аутистичния спектър. В момента се смята, че между един милион и милион и половина души в САЩ проявяват симптоми на аутизъм. Повечето от тях живеят нормален живот. Връзки:  Асоциация аутизъм Игри за деца с аутизъм @ autismspeaks.org – EN Autism in details & in more details – EN National Autism Association – EN Autism-society.org – EN   Желаем ви здраве! Моля ви, не забравяйте, че никаква информация или съвет не може и не трябва да заменя консултация, преглед и лечение при лекар. Проверил: Д-р Нора Владимирова, Bispebjerg and Frederiksberg Hospital, Копенхаген, Дания."
Родилни петна,"Други имена: Белег по рождение. Англ: Birthmarks Какво е родилно петно Родилното петно е част от кожата с различен от нормалния цвят. Въпреки името си някои родилни петна се появяват известно време след раждането. Има много различни видове родилни петна. Повечето не са опасни за здравето на детето и не са симптом на някакво заболяване. Областите с различна пигментация се срещат буквално при всички хора. Някои вродени петна изчезват с времето. Тези, които остават, могат да са причина за козметични проблеми и породените от това психически проблеми като ниско самочувствие. Видове родилни петна Бенки. Буквално всички хора имат бенки. Бенките са малки групи кожни клетки с различен цвят. Бенките са безопасни в повечето случаи. Потърсете лекар в случай, че бенките нарастват, появяват се нови с нетипичен цвят или има сърбеж, болка, кървене. Невус симплекс. Наричат се още розови петна или „ангелска целувка”. Около една трета от бебетата имат такива петна. Те се дължат на разширени кръвоносни съдове и не са опасни. Розовите петна по лицето обикновено изчезват до 18 месец, докато тези по врата често остават за цял живот. При нужда могат да се премахват хирургически. Портвайн петна. Наричани още невус фламеус, те се дължат на разширени кръвоносни съдове. При раждането са розови, но с времето потъмняват и изглеждат тъмночервени или морави. Обикновено се появяват на лицето и нерядко създават козметичен дискомфорт с възрастта. Портвайн петната се срещат рядко и не са опасни. Възможно е да се отстранят чрез лазерна хирургия, но методът невинаги е ефективен и безопасен. Монголоидини петна. Те са сини или сиво-сини петна по гърба или дупето на детето. Обикновено изчезват до пълнолетие и са напълно безопасни. Премахването им е излишно и непрепоръчтелно. Петна с цвят на кафе с мляко (сметана). Името им идва от френското cafe au lait и се дължи на нежния им кафяв цвят. Тези петна не са опасни, но може да са симптом на заболяване. В случай че детето има няколко големи кафяви петна по кожата, консултирайте се с лекар. Хемангиоми. Това са петна, дължащи се на ненормално образуване и струпване на кръвоносни съдове на определено място по тялото. За разлика от другите родилни петна тези са подути и изпъкнали. Хемангиомите се появяват най-често няколко месеца след раждането и бързо нарастват. За щастие с времето хемангиомите се свиват и постепенно изчезват. В повечето случаи до към 10-тата година натрупаната червена тъкан напълно изчезва. Този тип родилни петна се лекуват трудно като лечението има много доста странични ефекти и не е много подходящо за деца. В повечето случаи лекарите ще изчакат поне до десетата година, за да видят дали петната ще изчезнат сами както става най-често. Прогноза и възможни усложнения Повечето родилни петна са безопасни. Тъй като те се виждат много ясно при преглед още при раждането или скоро след това, детските лекари ги регистрират и оценяват. Това означава, че много рядко има защо да се тревожим, че детето ни е болно. Родилните петна много рядко водят до рак на кожата. Невинаги пластичната хирургия е препоръчителна за премахване на петната. Проучете рисковете добре и се консултирайте с повече от един специалист, преди да вземете решение. Връзки:  Slide show: Birthmarks by Mayo Clinic – EN Бенки by NHS Choices – EN Port-wine stain by the British Association of Dermatologists– EN Hemangioma by Mayo Clinic – EN   Желаем ви здраве! Моля ви, не забравяйте, че никаква информация или съвет не може и не трябва да заменя консултация, преглед и лечение при лекар. Проверил: Д-р Нора Владимирова, Bispebjerg and Frederiksberg Hospital, Копенхаген, Дания."
Дребна шарка,"Други имена: Морбили, брусница. Англ: Rubeola, measles, morbilli Какво е дребна шарка Дребната шарка е лесно преносимо вирусно заболяване, което засяга предимно децата до 5-годишна възраст. Тя се среща изключително рядко в страните, където се прилага ваксинация. Боледуването от дребна шарка протича тежко и може да е доста опасно, ако не се вземат необходимите мерки. В България ваксинацията срещу тази шарка е задължителна и повсеместна (МПР ваксина). Първата доза от ваксината се поставя около 13 месец. Причини, рискови фактори и превенция Дребната шарка се пренася по въздушно-капков път. Заразяването обикновено става при контакт с капчици, изхвърлени от болен индивид при кашляне или кихане. Хората, ваксинирани срещу дребна шарка, както и изкаралите заболяването, имат имунитет към него. Ваксинацията в повечето развити страни е задължителна и затова дребната шарка е изключително рядко срещана. През последните години в някои развити страни се наблюдава нарастване на случаите на дребна шарка. Явлението се дължи на нежеланието на някои родители да ваксинират децата си с т. нар. MMR ваксина (предпазва от рубеола, дребна шарка и заушка). Притеснението на родителите най-вече е, че между MMR ваксината и аутизма има връзка. Подобен страх е необоснован. Многобройни научни изследвания са доказали, че такава връзка няма. Въпреки това някои родители правят избор, който е сериозна заплаха както за собствените им деца така и за околните. Симптоми Симптомите на дребната шарка се проявяват след инкубационен период от 8-12 дни и включват:  Зачервени очи и/или конюнктивит Суха кашлица Повишена телесна температура, втрисане Свръхчувствителност към светлина Болка в мускулите Обриви. Изриването най-често се появява 3-5 дни след появата на първите симптоми и продължава около 7 дни. Обичайно първите обриви са по главата, но с времето такива се забелязват по цялото тяло. Местата на сърбеж могат в началото да бъдат два вида – гладки, лишени от цвят (бели) области и изпъкнали червени. С времето те се сливат. Можете да потърсите изображения за measles в интернет Хрема и болки в гърлото Малки бели точки вътре в устата, известни като петна на Филатов-Коплик. Те имат размер на песъчинка и се наблюдават по вътрешността на бузите. Това е един от първите симптоми, по които може да се установи инфекцията от дребна шарка  Лечение Не съществува специфично лечение за дребна шарка. В случай на съмнение за дребна шарка веднага трябва да потърсим лекар, който по своя преценка може да предпише медикаменти, облекчаващи протичането на заболяването. Страдащият от дребна шарка трябва да почива на топло (най-добре легнал). Да се избягва контакт с други хора и особено с деца. Овлажняването на въздуха в стаята има облекчаващ ефект. Важно е да се следи температурата на болния и да му се дават течности. Прогноза и възможни усложнения Ако не получат усложнения, болните от дребна шарка деца като цяло се възстановяват напълно след тежкото боледуване. Възможните усложнения включват бронхит, пневмония, възпаление на ушите и много рядко енцефалит (възпаление на мозъка). Заболяването е много опасно при бременност. Ако сте бременна и около вас има случай на дребна шарка, веднага потърсете своя лекар и преустановете всякакъв контакт с болния и хората, общували с него през последните десетина дни. Проверете дали сте ваксинирана срещу дребна шарка. Връзки:  Имунизационен календар на България Дребна шарка от Mayo Clinic – EN   Желаем ви здраве! Моля ви, не забравяйте, че никаква информация или съвет не може и не трябва да заменя консултация, преглед и лечение при лекар. Проверил: Д-р Нора Владимирова, Bispebjerg and Frederiksberg Hospital, Копенхаген, Дания."
Кучешка тения,"Други имена: Ехинококоза Англ: Echinococcus, Hydatid disease Какво е кучешка тения Кучешката тения или още ехинококоза е инфекция с паразитите Echinococcus granulosus или Echinococcus multilocularis. Паразитите са организми, които използват човешкото тяло за дом и източник на храна. Причини, рискови фактори и превенция Човек се заразява от кучешка тения при контакт със заразено животно. Освен кучетата това може да са крави, елени, прасета, овце и много други животни, каквито нямаме в България. Паразитите се изхвърлят от тялото на животните с изпражненията. Оттам те могат да се прехвърлят върху козината на животното и после върху ръцете ни. Веднъж проникнали в нас, яйцата на кучешката тения се пренасят до черния дроб, където се образува мехур, в който тенията се развива. Такъв мехур (ехинококова киста) може да се образува и в други органи като жлъчка, бъбрек, бял дроб или дори в мускулите или мозъка. Симптоми Ехинококовата киста може да не прояви симптоми 10 или повече години. Възможните симптоми включват:  Болка в горната дясна част на коремната област Кашлица и кървави храчки Треска Болка в гърдите Интензивен и силен сърбеж  Спукването на ехинококова киста в тялото може да доведе до изпадане в алергичен шок. Това е животозаплашващо състояние, изискващо незабавна медицинска помощ. Лечение Повечето хора могат да бъдат излекувани с антипаразитни медикаменти. Понякога може да се наложи операция за отстраняване на кистата, ако такава операция е възможна. Прогноза и възможни усложнения Повечето хора, при които кучешката тения се е повлияла от медикаментозното лечение, оздравяват напълно. Възможните усложнения при ехинококозата са:  Спукване на киста и изпадане в шоково състояние Разпространяване на кисти из тялото  Връзки:  Кучешка тения от РЗИ Силистра Echinococcosis by cdc.gov – EN   Желаем ви здраве! Моля ви, не забравяйте, че никаква информация или съвет не може и не трябва да заменя консултация, преглед и лечение при лекар. Проверил: Д-р Пламен Симеонов, неврохирург, Военномедицинска академия, София."
Хеморагична болест при новороденото,"Други имена: Кръвотечение поради недостиг на витамин К. Англ: Hemorrhagic disease of the newborn Какво е хеморагична болест при новороденото (ХБН) Хеморагичната болест при новороденото е кървене, дължащо се на липса на витамин К. Витамин К е необходим за съсирването на кръвта. Състоянието се среща предимно в страни, където на новородените не се поставя задължително инжекция с витамин К след раждането. За съжаление България е страна, където не се извършва витамин К профилактика. Причини, рискови фактори и превенция Недостигът на витамин К при новородените може да се дължи на доста причини. Витамин К не преминава лесно през плацентата и затова плодът не получава достатъчно от него. В кърмата има много малко витамин К. Ето защо ХБН се наблюдава много по-често при деца, които се кърмят. Освен това някои лекарства, например такива за туберкулоза, разреждане на кръвта и антиконвулсанти, приемани от майката по време на бременността, увеличават риска от недостиг на витамин К. Бебетата, които в първите месеци след раждането имат стомашни проблеми като диария или глутенова непоносимост (целиакия), са заплашени от ХБН. Някои чернодробни заболявания също повишават риска от развиване на заболяването. Даването на витамин К след раждането напълно премахва риска от хеморагична болест при новороденото. Симптоми За щастие кървенето при новородените най-често е на места, където кръвта може да напусне тялото. Това са:  Областта на пъпа Лигавиците на носа и устата Червата и стомаха (кръв в изпражненията) Места, където са поставяни инжекции Рани, получени при раждането Пениса при обрязване  Възможно е още да се наблюдава кръв в урината или лесно получаване на синини. Лечение ХБН се лекува чрез даване на витамин К. Обикновено преди това се прави тест за установяване на проблем със съсирването на кръвта. Прогноза и възможни усложнения Хеморагичната болест при новороденото е лечима и може да се избегне чрез профилактика. В повечето случаи за щастие болестта не създава сериозни проблеми и не уврежда бебето. Жените, които пият антиконвулсанти, трябва да приемат витамин К по време на бременността. Говорете с лекаря си за това. В много редки случаи ХБН може да предизвика опасни вътрешни кръвоизливи, например в мозъка, които заплашват здравето и живота. Връзки:  Prophylactic for vitamin K deficiency bleeding in neonates – EN   Желаем ви здраве! Моля ви, не забравяйте, че никаква информация или съвет не може и не трябва да заменя консултация, преглед и лечение при лекар. Проверил: Д-р Пламен Симеонов, неврохирург, Военномедицинска академия, София."
Пърхот,"Други имена: Себорея, себореен дерматит, питириазис симплекс. Англ: Seborrheic dermatitis, Dandruff Какво е пърхот Пърхотът е често срещано състояние, при което от скалпа и евентуално лицето и ушите се отделят люспи мъртва кожа. В много случаи пърхотът се дължи на заболяване, наречено себореен дерматит или просто себорея. Причини, рискови фактори и превенция Пърхотът най-често се дължи на падане на люспи кожа от участъци, където кожата е по-мазна вследствие на възпаление. На практика себореен дерматит означава възпаление на кожата в областите, където има повече мастни жлези. Какво поражда себореята, не е известно. Ако вашият пърхот се дължи на себореен дерматит, то може да са засегнати и ушите, гърдите, подмишниците или слабините. Себореята понякога води до зачервяване на клепачите (вж. блефарит). Пърхотът също така може да се дължи на:  Сухота на кожата Чувствителност на кожата на скалпа към шампоани, водеща до т. нар. контактен дерматит Недостатъчно често миене на косата или твърде често миене на косата, което води до изтощение на кожата Прекомерно използване на продукти за коса като пяна или спрей Кожни проблеми като псориазис или някаква екзема Инфекция с гъбичката маласезия. Този организъм живее по скалпа на всички хора, но при някои води до раздразване на кожата и появата на пърхот. Възможно е маласезията да е причината за появата на себорея, но това не е категорично доказано  Пърхотът обикновено се проявява на периоди. По-често състоянието се наблюдава при:  Млади хора и мъже. Пърхотът има навика да изчезва с възрастта Мазна кожа и коса Периоди на емоционален стрес Неврологични и психически проблеми като болест на Паркинсон или депресия Наднормено тегло Отслабена имунна защита  Пърхотът е често срещан при новородени и бебета. Това не бива да ни притеснява, защото в повечето случаи „бебешкият” пърхот, изчезва до към третата година. Лекарите го наричат детски себореен дерматит. Симптоми Пърхотът е очевиден проблем. Светлите парченца кожа, които падат от скалпа са ясно видими на тъмна повърхност (дрехи или коса), което поражда и козметичния дискомфорт, характерен за състоянието. Понякога пърхотът е съпътстван от епизоди на сърбеж. Това е особено валидно за себореята. Себореята също може да засегне и очите и да раздразни клепачите. Състоянието се нарича блефарит и води до появата на корички по клепачите, зачервяване и неприятни усещания като парене. Лечение Пърхотът в повечето случаи подлежи на контрол с шампоани против пърхот. Добрата хигиена и разумната грижа за косата са част от лечението. Когато обикновените шампоани не помагат, трябва да посетим лекар или дерматолог. Той вероятно ще установи, че страдаме от себореен дерматит, и ще ни препоръча по-силни продукти против пърхот, каквито ще намерим в аптеките. В общия случай това са шампоани или мазила, които имат противогъбично действие или контролират възпалението на кожата. Ако нещата са по-сериозни, т.е. възпалението е твърде интензивно, може да се наложим да пием медикаменти. Понякога се ползва лечение с ултравиолетова светлина (фототерапия). Какво помага:  Използвайте шампоан за пърхот. Разните шампоани имат различни активни съставки. Пробвайте кой ви помага (например head&shoulders е практически шампоан срещу гъбичката маласезия) Излагането на слънце. Слънцето обаче е опасно и не бива дълго да стоим на слънце, без да сме намазали откритите части на тялото със слънцезащитен крем Избягвайте продукти за кожа, които съдържат алкохол Ако имате брада или мустаци, помислете за обръсване Мийте си лицето и особено очите възможно по-често Пазете се от стрес Не преуморявайте косата си с продукти за коса, вкл. боя Уверете се, че диетата ви съдържа достатъчно цинк и B витамини Мийте си косата достатъчно често, но не прекалено. 2-3 пъти седмично е подходящо за повечето хора Опитайте продукти с алое вера или масло от чаено дърво за кожа/коса. Има основания да се счита, че тези растителни продукти повлияват добре себорейния дерматит. Омега-3 мастните киселини може би също повлияват състоянието положително  Прогноза и възможни усложнения Пърхотът обикновено може да се контролира и представлява предимно козметичен проблем. При доста хора проблемът ще изчезне съвсем след 30-ата година, защото с възрастта кожата става по-малко мазна. Себорейният дерматит, ако е много силно изявен, може да създава по-сериозни проблеми като блефарит и да се нуждае от медикаментозно лечение. Състоянието най-често е хронично и се завръща след периоди на „излекуване”. Връзки:  Dandruff by NHS Choices – EN   Желаем ви здраве! Моля ви, не забравяйте, че никаква информация или съвет не може и не трябва да заменя консултация, преглед и лечение при лекар. Проверил: Д-р Пламен Симеонов, неврохирург, Военномедицинска академия, София."
